What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
achieving academic goals,"Getting good grades,Career preparation",,1,6,5,7,4,8,2,3,No,,,because im not feeling pushed,Motivated,,Yes,because im set,,"No, none of these statements relate to me",About the same,no education no job,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Stressed","Tests,Projects,Time management,Balancing stress,Attaining top grades,Awards/Recognition",Third year or equivalent,Community college,Yes,No,None of these choices are applicable to me,I don't remember what my career ambitions where in high school,no,5,5
"Getting the most out of the time and money put into my college years. Gaining knowledge, skills and relationships to succeed in my career. ","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,1,2,3,6,7,8,4,5,Yes,Myself,,,Both,,Yes,"I have grown close with a college professor who is available to me with questions, and I have an advisor who is a certified counselor. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,If I don't do well academically then I won't feel prepared or as though I harbor the knowledge needed to advance in my career. ,"Happy,Gratified,Proud","Stressed,Anxious,Nervous","Tests,Major assignments,Attaining top grades,Independent Studies/Passion Projects",Second year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",No,5,5
Academic success means truly learning and gaining everything I can out of the academic environment that I am in.,"Getting good grades,Time management,Pursuing knowledge/answers",,2,3,4,6,7,8,5,1,Yes,Myself,,,Both,,Yes,I know where to go if I need help and I know that I will get it.,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,I will not have the career or lifestyle that I want to have.,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck",Nothing on this list stands out,Second year or equivalent,Private institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,7,7
To be successful in schoole,Pursuing knowledge/answers,,1,2,3,4,5,6,7,8,No,,,Because I’m already old,Stressed,,No,,Because I don’t have many friends ,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",About the same,None at all,"Happy,Relieved","Annoyed,Nervous","Balancing stress,Awards/Recognition",Second year or equivalent,Community college,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",None,8,7
"Graduating, grasping the class material, and completing the coursework with a B or an A. ",Pursuing knowledge/answers,,1,5,6,7,4,8,3,2,Yes,Myself,,,Both,,Yes,the internet is the best resource i could imagine,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",About the same,"disappoint my family, myself","Happy,Relieved,Proud","Annoyed,Stressed,Anxious,Nervous","Projects,Awards/Recognition,Independent Studies/Passion Projects",Fourth year of equivalent,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,7
"Being able to achieve my goals, learn more, and pass successfully. ","Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,3,6,5,7,4,8,2,1,Yes,Culture,,,Stressed,,Like somewhat,"I have some resources like materials and support but at the same time, I do not have time or money. ",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,I would have fewer opportunities for a higher-paying job. ,"Happy,Relieved,Proud,Anxious,Stressed,Confused","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Time management,Service,Independent Studies/Passion Projects",Fourth year of equivalent,Public institution,No,No,None of these choices are applicable to me,"NO, my career ambitions have changed A LOT from when I was in high school",:-) i do not like school lol ,5,3
Academic success means to me achieving the goals you set for yourself. It means learning all that you can and being able to apply it in various ways to your life. ,"Getting good grades,Career preparation,Pursuing knowledge/answers",,4,6,5,1,7,8,2,3,Yes,Myself,,,Both,,Yes,"Because I'm going back to school at a later time in my life, I understand the importance of why I'm doing it and I definitely take it a lot more seriously than I did the first time I went. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"The future is constantly changing and in my career of choice, my lack of a bachelors degree is really limiting my job opportunities. I don't want to keep making low wages forever and I'd like to advance further. If I flunk out of school, my job opportunities will be much more limited and my wages will continue to be low.  ","Happy,Relieved,Proud","Stressed,Anxious,Nervous","Projects,Major assignments,Attaining top grades",Fourth year of equivalent,Public institution,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school","I did not take school very seriously the first time I went to college. I graduated early from highschool and managed to drop out after my first semester at college. Going back almost ten years later (with a completely different major) really changed how I viewed school. With the advancing AI and high competition for remote jobs, it's almost a requirement for me to keep furthering my education in order to keep my job. ",6,3
"To me, academic success  is about growth, persistence not just getting high grades","Career preparation,Time management,Balancing stress,Pursuing knowledge/answers",,7,1,6,2,8,4,3,5,Yes,Career Goals,,,Motivated,,Yes,"I feel so because i have instructions, knowledgeable teachers, and tools that make learning easier.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,By  limiting certain career options or making it harder to qualify for scholarships or advanced studies,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Performance in sports,Time management,Balancing stress,Impressing your parents/guardians,Awards/Recognition,Service,Independent Studies/Passion Projects",I am currently not in college,Other,No,,,,,,
"Not just passing classes, excellence in them to set myself up for the future","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,2,8,4,7,5,3,1,6,Yes,Myself,,,Both,,Like somewhat,Because I have resources available but I’m still struggling so much,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,If I don’t get good grades I can’t go to law school then all of my studies are meaningless ,"Happy,Relieved,Gratified,Dignified,Proud","Annoyed,Stressed,Anxious,Nervous,Stuck","Time management,Balancing stress",Second year or equivalent,Public institution,Yes,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,3,4
It means learning the subject matter thoroughly enough to demonstrate a capable understanding of it. ,"Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,6,3,4,5,8,7,1,2,Yes,Myself,,,Both,,Like somewhat,I feel that I do too much on my own and do not all for enough help. ,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Much more,I will not abusive the degrees I want and this can lead to not getting the career opportunities I want. ,"Happy,Relieved,Proud","Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Projects,Major assignments,Awards/Recognition,Independent Studies/Passion Projects,Internship/Career-oriented work",Second year or equivalent,Public institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,3,3
"Academic success, to me, means that I have absorbed the information I am being taught and that I am putting that information to great use. This can mean many things; maintaining a good grade, getting into an internship relevant to my degree, working towards scholarships, etc.","Getting good grades,Career preparation,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,2,4,7,5,6,8,3,1,Yes,Family,,,Stressed,,No,,I am financially strained and working a full time workload. My family wants me to pursue a higher education with no consideration to what that would mean for me if I was unable to find work that covered my loans. I am often hungry and face limitations with school resources. I often feel as if my advisors are unequipped to know what I desire out of my degree path. ,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,"I would not be able to find work within my locale that would sustain my family and future goals. I would feel personally unfulfilled, as the work I wish to do requires an education. I would be indebted beyond reasonable means.","Relieved,Anxious,No difference in feeling","Annoyed,Stressed,Stuck","Attaining top grades,Awards/Recognition,Independent Studies/Passion Projects,Extracurriculars/Clubs",Third year or equivalent,Community college,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,4,6
